criterion,prompt_technique,prompt
C1,monolithic,"Check if {parameter} is clearly present in architecture description and diagram. Return strict JSON for this parameter only."
C1,cot,"Step 1: From the architecture diagram, extract a clean list of components and interactions (names only). || Step 2: From the architecture text, extract a clean list of mentioned components and interactions (names only). || Step 3: Compare both lists for {parameter}; if the required evidence is consistent in both sources mark Detected, otherwise mark Not Detected. Output strict JSON for this parameter only."
C1,expert,"As an expert architect, evaluate whether {parameter} is explicitly represented and technically valid. Output strict JSON for this parameter only."
C1,cove,"Step 1: Draft decision for {parameter} || Step 2: Ask verification questions for possible false positive/negative || Step 3: Re-evaluate and output strict JSON for this parameter only."
C1,rcot,"Step 1: Define required evidence for {parameter} || Step 2: Compare required evidence with available evidence || Step 3: Output strict JSON for this parameter only."
C1,two_model,"Step 1: Generator drafts decision for {parameter} || Step 2: Judge critiques the draft decision || Step 3: Generator outputs strict JSON for this parameter only."
C2,monolithic,"Check if {parameter} is present with unambiguous evidence from architecture inputs. Return strict JSON for this parameter only."
C2,cot,"Step 1: Extract diagram-side component evidence relevant to {parameter}. || Step 2: Extract text-side component evidence relevant to {parameter}. || Step 3: Match diagram evidence vs text evidence; if mismatch, missing links, or missing components affect {parameter}, mark Not Detected, else Detected. Output strict JSON for this parameter only."
C2,expert,"Evaluate {parameter} with focus on consistency, completeness, and feasibility. Output strict JSON for this parameter only."
C2,cove,"Step 1: Initial label for {parameter} || Step 2: Self-verification questions || Step 3: Corrected strict JSON output for this parameter only."
C2,rcot,"Step 1: Backward infer expected architecture evidence for {parameter} || Step 2: Match against provided inputs || Step 3: Final strict JSON for this parameter only."
C2,two_model,"Step 1: Primary decision draft for {parameter} || Step 2: Judge feedback || Step 3: Refined strict JSON for this parameter only."
